Date (TU),Discharge
2022-04-14T05:00:00.000Z,52.4
2022-04-14T06:00:00.000Z,52.4
2022-04-14T07:00:00.000Z,52.4
2022-04-14T08:00:00.000Z,52.4
2022-04-14T09:00:00.000Z,50.8
2022-04-14T10:00:00.000Z,41.4
2022-04-14T11:00:00.000Z,38.8
2022-04-14T12:00:00.000Z,41.6
2022-04-14T13:00:00.000Z,41.9
2022-04-14T14:00:00.000Z,42
2022-04-14T15:00:00.000Z,42
2022-04-14T16:00:00.000Z,42.6
2022-04-14T17:00:00.000Z,48.8
2022-04-14T18:00:00.000Z,54
2022-04-14T19:00:00.000Z,54.7
2022-04-14T20:00:00.000Z,53.2
2022-04-14T21:00:00.000Z,52.4
2022-04-14T22:00:00.000Z,52.3
2022-04-14T23:00:00.000Z,52.2
2022-04-15T00:00:00.000Z,52.1
2022-04-15T01:00:00.000Z,51.3
2022-04-15T02:00:00.000Z,49.9
2022-04-15T03:00:00.000Z,47.7
2022-04-15T04:00:00.000Z,47.2
2022-04-15T05:00:00.000Z,50
2022-04-15T06:00:00.000Z,49.1
2022-04-15T07:00:00.000Z,46.9
2022-04-15T08:00:00.000Z,42
2022-04-15T09:00:00.000Z,40.7
2022-04-15T10:00:00.000Z,46.2
2022-04-15T11:00:00.000Z,47.8
2022-04-15T12:00:00.000Z,47.5
2022-04-15T13:00:00.000Z,47.2
2022-04-15T14:00:00.000Z,46.9
2022-04-15T15:00:00.000Z,46.6
2022-04-15T16:00:00.000Z,46.3
2022-04-15T17:00:00.000Z,46.1
2022-04-15T18:00:00.000Z,45.8
2022-04-15T19:00:00.000Z,45.2
2022-04-15T20:00:00.000Z,39.8
2022-04-15T21:00:00.000Z,34.2
2022-04-15T22:00:00.000Z,36.7
2022-04-15T23:00:00.000Z,35.8
2022-04-16T00:00:00.000Z,35.1
2022-04-16T01:00:00.000Z,35.1
2022-04-16T02:00:00.000Z,35.1
2022-04-16T03:00:00.000Z,35.1
2022-04-16T04:00:00.000Z,35.2
2022-04-16T05:00:00.000Z,35.2
2022-04-16T06:00:00.000Z,35.2
2022-04-16T07:00:00.000Z,35.2
2022-04-16T08:00:00.000Z,35.2
2022-04-16T09:00:00.000Z,35.2
2022-04-16T10:00:00.000Z,35.2
2022-04-16T11:00:00.000Z,35.2
2022-04-16T12:00:00.000Z,35.2
2022-04-16T13:00:00.000Z,35.2
2022-04-16T14:00:00.000Z,35.2
2022-04-16T15:00:00.000Z,35.3
2022-04-16T16:00:00.000Z,35.3
2022-04-16T17:00:00.000Z,35.3
2022-04-16T18:00:00.000Z,35.3
2022-04-16T19:00:00.000Z,35.3
2022-04-16T20:00:00.000Z,35.3
2022-04-16T21:00:00.000Z,35.3
2022-04-16T22:00:00.000Z,35.3
2022-04-16T23:00:00.000Z,35.3
2022-04-17T00:00:00.000Z,35.3
2022-04-17T01:00:00.000Z,35.3
2022-04-17T02:00:00.000Z,35.2
2022-04-17T03:00:00.000Z,35.1
2022-04-17T04:00:00.000Z,35.1
2022-04-17T05:00:00.000Z,35
2022-04-17T06:00:00.000Z,35
2022-04-17T07:00:00.000Z,34.9
2022-04-17T08:00:00.000Z,34.8
2022-04-17T09:00:00.000Z,34.8
2022-04-17T10:00:00.000Z,34.9
2022-04-17T11:00:00.000Z,35.1
2022-04-17T12:00:00.000Z,35.3
2022-04-17T13:00:00.000Z,35.4
2022-04-17T14:00:00.000Z,35.4
2022-04-17T15:00:00.000Z,35.4
2022-04-17T16:00:00.000Z,35.3
2022-04-17T17:00:00.000Z,35.2
2022-04-17T18:00:00.000Z,35.2
2022-04-17T19:00:00.000Z,35.1
2022-04-17T20:00:00.000Z,35.1
2022-04-17T21:00:00.000Z,35
2022-04-17T22:00:00.000Z,35
2022-04-17T23:00:00.000Z,34.9
2022-04-18T00:00:00.000Z,34.9
2022-04-18T01:00:00.000Z,34.8
2022-04-18T02:00:00.000Z,34.7
2022-04-18T03:00:00.000Z,34.7
2022-04-18T04:00:00.000Z,34.6
2022-04-18T05:00:00.000Z,34.6
2022-04-18T06:00:00.000Z,34.5
2022-04-18T07:00:00.000Z,34.5
2022-04-18T08:00:00.000Z,34.4
2022-04-18T09:00:00.000Z,34.5
2022-04-18T10:00:00.000Z,34.6
2022-04-18T11:00:00.000Z,34.7
2022-04-18T12:00:00.000Z,34.8
2022-04-18T13:00:00.000Z,34.9
2022-04-18T14:00:00.000Z,35
2022-04-18T15:00:00.000Z,35.1
2022-04-18T16:00:00.000Z,34.6
2022-04-18T17:00:00.000Z,33.9
2022-04-18T18:00:00.000Z,33.6
2022-04-18T19:00:00.000Z,33.6
2022-04-18T20:00:00.000Z,33.6
2022-04-18T21:00:00.000Z,33.5
2022-04-18T22:00:00.000Z,33.5
2022-04-18T23:00:00.000Z,33.5
2022-04-19T00:00:00.000Z,33.5
2022-04-19T01:00:00.000Z,33.5
2022-04-19T02:00:00.000Z,33.4
2022-04-19T03:00:00.000Z,33.4
2022-04-19T04:00:00.000Z,33.4
2022-04-19T05:00:00.000Z,33.4
2022-04-19T06:00:00.000Z,33.4
2022-04-19T07:00:00.000Z,33.3
2022-04-19T08:00:00.000Z,33.3
2022-04-19T09:00:00.000Z,32.2
2022-04-19T10:00:00.000Z,29.6
