Datetime,Discharge,Corresponding_known_discharge
1/9/2025 3:40,2.595531833,3.0
1/9/2025 3:50,2.447507855,2.0
1/9/2025 4:00,2.214786713,2.0
1/9/2025 4:10,1.837374584,2.0
1/9/2025 4:20,1.165286907,1.0
1/9/2025 4:30,1.0,1.0
1/9/2025 4:40,1.0,1.0
1/9/2025 4:50,1.0,1.0
1/9/2025 5:00,1.298018341,1.0
1/9/2025 5:10,1.629748898,2.0
1/9/2025 5:20,1.521524745,2.0
1/9/2025 5:30,2.016571823,2.0
1/9/2025 5:40,2.839232236,3.0
1/9/2025 5:50,4.219231042,4.2
1/9/2025 6:00,6.269489962,5.5
1/9/2025 6:10,6.975668582,7.4
1/9/2025 6:20,2.63160655,3.0
1/9/2025 6:30,1.838158817,2.0
1/9/2025 6:40,3.289884373,3.0
1/9/2025 6:50,9.402426048,9.0
1/9/2025 7:00,15.14276087,15.3
1/9/2025 7:10,14.77757679,15.3
1/9/2025 7:20,9.465240831,9.0
1/9/2025 7:30,9.232318933,9.0
1/9/2025 7:40,13.49475066,13.4
1/9/2025 7:50,18.57065333,18.8
1/9/2025 8:00,22.26463077,18.8
1/9/2025 8:10,24.32152231,29.2
1/9/2025 8:20,24.73820671,29.2
1/9/2025 8:30,26.02610485,29.2
1/9/2025 8:40,25.62073491,29.2
1/9/2025 8:50,24.18535859,29.2
1/9/2025 9:00,24.62935376,29.2
1/9/2025 9:10,24.00705824,29.2
1/9/2025 9:20,23.0207491,18.8
1/9/2025 9:30,22.29896432,18.8
1/9/2025 9:40,21.07544158,18.8
1/9/2025 9:50,19.08409591,18.8
1/9/2025 10:00,17.1785841,18.8
1/9/2025 10:10,14.25438036,13.4
1/9/2025 10:20,15.0815067,15.3
1/9/2025 10:30,17.17234163,18.8
1/9/2025 10:40,15.43459601,15.3
1/9/2025 10:50,13.18769951,13.4
1/9/2025 11:00,10.09846067,10.6
1/9/2025 11:10,7.285840959,7.4
1/9/2025 11:20,5.911718805,5.5
1/9/2025 11:30,6.073632688,5.5
1/9/2025 11:40,7.018195361,7.4
1/9/2025 11:50,7.952614031,7.4
1/9/2025 12:00,8.531992623,9.0
1/9/2025 12:10,12.14403774,12.0
1/9/2025 12:20,22.96495708,18.8
1/9/2025 12:30,21.42697028,18.8
1/9/2025 12:40,17.0751933,18.8
1/9/2025 12:50,15.51106618,15.3
1/9/2025 13:00,13.00393701,13.4
1/9/2025 13:10,12.08278357,12.0
1/9/2025 13:20,15.12520394,15.3
1/9/2025 13:30,18.08686245,18.8
1/9/2025 13:40,18.54763425,18.8
1/9/2025 13:50,17.49694971,18.8
1/9/2025 14:00,14.71086047,15.3
1/9/2025 14:10,12.04962049,12.0
1/9/2025 14:20,10.12538129,10.6
1/9/2025 14:30,8.25303256,9.0
1/9/2025 14:40,7.165673548,7.4
1/9/2025 14:50,7.044335674,7.4
1/9/2025 15:00,6.436085692,5.5
1/9/2025 15:10,5.366283606,5.5
1/9/2025 15:20,6.680712208,7.4
1/9/2025 15:30,7.522664397,7.4
1/9/2025 15:40,8.417287366,9.0
1/9/2025 15:50,11.31300986,12.0
1/9/2025 16:00,14.70578847,15.3
1/9/2025 16:10,14.30900192,13.4
1/9/2025 16:20,11.66375825,12.0
1/9/2025 16:30,11.68950841,12.0
1/9/2025 16:40,13.61647868,13.4
1/9/2025 16:50,15.70536284,15.3
1/9/2025 17:00,18.24721572,18.8
1/9/2025 17:10,16.41583316,15.3
1/9/2025 17:20,12.43119103,12.0
1/9/2025 17:30,14.49198411,15.3
1/9/2025 17:40,19.02674328,18.8
1/9/2025 17:50,24.8213095,29.2
1/9/2025 18:00,31.55770731,29.2
1/9/2025 18:10,28.9577215,29.2
1/9/2025 18:20,22.30520678,18.8
1/9/2025 18:30,21.26739732,18.8
1/9/2025 18:40,21.99893594,18.8
1/9/2025 18:50,22.92750231,18.8
1/9/2025 19:00,23.90288714,18.8
1/9/2025 19:10,23.86972405,18.8
1/9/2025 19:20,23.32741009,18.8
1/9/2025 19:30,20.72079166,18.8
1/9/2025 19:40,17.56951834,18.8
1/9/2025 19:50,14.57196567,15.3
1/9/2025 20:00,12.8642619,13.4
1/9/2025 20:10,15.77988224,15.3
1/9/2025 20:20,22.29272186,18.8
1/9/2025 20:30,20.98375541,18.8
1/9/2025 20:40,17.87930056,18.8
1/9/2025 20:50,14.17634958,13.4
1/9/2025 21:00,10.74143435,10.6
1/9/2025 21:10,11.23536923,10.6
1/9/2025 21:20,15.69521884,15.3
1/9/2025 21:30,14.28949422,13.4
1/9/2025 21:40,10.97630702,10.6
1/9/2025 21:50,7.578846563,7.4
1/9/2025 22:00,5.328438675,5.5
1/9/2025 22:10,4.927360431,5.5
1/9/2025 22:20,7.525395474,7.4
1/9/2025 22:30,8.669326807,9.0
1/9/2025 22:40,8.455522452,9.0
1/9/2025 22:50,6.67095836,7.4
1/9/2025 23:00,4.283996595,4.2
1/9/2025 23:10,3.639462297,4.2
1/9/2025 23:20,8.279563028,9.0
1/9/2025 23:30,9.144534298,9.0
1/9/2025 23:40,6.878130099,7.4
1/9/2025 23:50,3.91452082,4.2
1/10/2025 0:00,2.273604188,2.0
1/10/2025 0:10,1.923640214,2.0
1/10/2025 0:20,8.171100234,7.4
1/10/2025 0:30,10.16556714,10.6
1/10/2025 0:40,8.282294105,9.0
1/10/2025 0:50,6.780981769,7.4
1/10/2025 1:00,5.562140881,5.5
